title,author,publisherName,itemCaption,ISBN,salesDate,itemPrice,size,booksGenreId,reviewCount,reviewAverage
Pythonによるファイナンス入門,中妻照雄,朝倉書店,,9784254128949,2018年02月15日頃,3080,全集・双書,001006024,0,0.0
Pythonからはじめる数学入門,AmitSaha/黒川利明,オライリー・ジャパン,Ｐｙｔｈｏｎは書きやすくて読みやすい、使うのが楽しいプログラミング言語です。本書では、学生や生徒、プログラミングの初心者が、数学の問題を具体的に解く楽しみをＰｙｔｈｏｎを用いて体験します。方程式の解を求めたり、統計や確率を計算したり、放物線運動をプロットしたり、フラクタル図形を描いたり、フィボナッチ数と黄金比の関係を探ったりします。同時に、ｍａｔｐｌｏｔｌｉｂとＳｙｍＰｙの使い方も学びます。数学とプログラミングの両方の知識と技術を身につけることができる、まさに一石二鳥の一冊です。,9784873117683,2016年05月21日頃,3080,単行本,001012002,5,4.0
Pythonハッカーガイドブック,Julien Danjou/株式会社クイープ,マイナビ出版,言語をより深く理解し、達人の経験に学び、一歩進んだＰｙｔｈｏｎスキルを身に付ける！マルチスレッドやメモ化といった高度なトピックを幅広くカバーし、ＡＰＩの設計やデータベースの扱いなど、言語自体をより深く理解するためにＰｙｔｈｏｎの内部を学びます。また、プロジェクトの開始方法から始めて、バージョン管理、コーディングスタイル、自動チェックなどのトピックについて解説します。配布用にソフトウェアをパッケージ化する方法、パフォーマンスを最適化する方法、適切なデータ構造を使用する方法、関数を効率的に定義する方法、適切なライブラリを選択する方法についても学習します。さらに、効果的なデコレータとメソッド（抽象メソッド、静的メソッド、クラスメソッドなど）の作成と使用、ジェネレータや純粋関数を使用した関数プログラミング、抽象構文ツリー（ＡＳＴ）による洗練された自動チェックを導入する方法、動的パフォーマンス分析を適用してコード内のボトルネックを特定する方法、ＰｏｓｔｇｒｅＳＱＬを使用してデータを効率的に管理する方法も取り上げます。,9784839968687,2020年05月29日頃,2992,単行本,001005017,1,3.0
Pythonプログラミングのツボとコツがゼッタイにわかる本,Shannon Lab株式会社,秀和システム,Ｐｙｔｈｏｎプログラミングの基本をゲーム作りを通して学ぼう！ブラックジャックゲームで今話題の“機械学習”も体験！,9784798048680,2016年12月22日頃,2970,単行本,001005017,2,3.0
TECHNICAL MASTER はじめてのPython エンジニア入門編 Python3対応,松浦 健一郎/司 ゆき,秀和システム,きちんと学びたい人のための最短教科書。Ｐｙｔｈｏｎ開発者に求められる言語、ツール、ライブラリなどの知識を１冊で素早く学べます。,9784798058320,2019年05月25日頃,2860,単行本,001005017,0,0.0
ディープラーニング入門,津田博史/嶋田康史,朝倉書店,ＤＮＮ、ＣＮＮ、ブースティング木、ＳＶＭ、ランダムフォレスト、ディープフォレスト…。近年目覚ましく発展する人工知能の基幹技術である機械学習。その理論とＰｙｔｈｏｎによる実装、そしてＦｉｎＴｅｃｈとしての活用例＝金融データ解析を解説。初学者のために、Ｗｉｎｄｏｗｓ／Ｍａｃ／Ｌｉｎｕｘそれぞれでの環境構築も具体的に紹介。,9784254275834,2018年06月04日頃,3960,全集・双書,001006024,1,3.0
Pythonで学ぶ実践画像・音声処理入門,伊藤克亘/花泉弘,コロナ社,,9784339009026,2018年04月,2750,単行本,001012010001,0,0.0
Pythonではじめるデータラングリング,Jacqueline Kazil/Katharine Jarmul,オライリー・ジャパン,データを自由自在に操る！データの収集・獲得から前処理、分析、プレゼンテーションまで、データに関するさまざまな知識とテクニックを網羅。Ｐｙｔｈｏｎ３対応。,9784873117942,2017年04月26日頃,4070,単行本,001012002,1,4.0
Pythonと実例で学ぶ機械学習,福井健一,オーム社,機械学習は計算機に学習能力をもたせる数理技術です。本書では、Ｐｙｔｈｏｎによる実装例を解説するとともに機器の異常検知と系列データの識別の実例を通じて機械学習利活用の理解を深めます。,9784274222788,2018年11月28日頃,2640,単行本,001005017,2,0.0
これからのロボットプログラミング入門　Pythonで動かすMINDSTORMS　EV3,上田 悦子/小枝 正直,講談社,,9784065186183,2020年02月28日頃,2640,単行本,001005005001/001012010001,0,0.0
